time,vbus,vbat,ibus,iloa,ibat
6.85,4.810346,3.515373,0.611098,0.231909,0.491207
6.866667,4.81588,3.514024,0.59287,0.233176,0.465377
6.883333,4.816889,3.512644,0.579419,0.231041,0.44856
6.9,4.818115,3.511124,0.561407,0.232832,0.42718
6.916667,4.814308,3.509828,0.549854,0.23366,0.407904
6.933333,4.813363,3.50817,0.534418,0.231913,0.388237
6.95,4.811971,3.507169,0.521827,0.231125,0.37266
6.966667,4.813944,3.508047,0.532901,0.230907,0.381243
6.983333,4.817217,3.509918,0.545584,0.230536,0.410985
7,4.809981,3.511726,0.568526,0.229492,0.437911
7.016667,4.812386,3.513314,0.586929,0.231644,0.460052
7.033333,4.815164,3.51491,0.599403,0.227861,0.475358
7.05,4.81515,3.516347,0.612063,0.229077,0.4984
7.066667,4.815829,3.517643,0.625284,0.229933,0.517924
7.083333,4.813591,3.518646,0.639827,0.233113,0.53057
7.1,4.815213,3.519951,0.652343,0.231192,0.546171
7.116667,4.818181,3.521053,0.660255,0.23009,0.562093
7.133333,4.814815,3.522186,0.668222,0.229876,0.568595
7.15,4.81544,3.52279,0.674504,0.232587,0.579474
7.166667,4.815579,3.523195,0.681881,0.231711,0.588893
7.183333,4.815431,3.523978,0.690321,0.231938,0.595744
7.2,4.813794,3.524634,0.694351,0.232109,0.603764
7.216667,4.816102,3.525071,0.695503,0.228096,0.606354
7.233333,4.817989,3.525171,0.69545,0.231107,0.604806
7.25,4.812984,3.525522,0.696129,0.229667,0.614426
7.266667,4.812547,3.525505,0.696584,0.232988,0.611474
7.283333,4.812599,3.52537,0.697427,0.232945,0.605727
7.3,4.815924,3.524933,0.688078,0.229825,0.598694
7.316667,4.814344,3.524844,0.68723,0.228126,0.593284
7.333333,4.814863,3.524405,0.68265,0.230256,0.587479
7.35,4.814636,3.523726,0.673735,0.231496,0.576721
7.366667,4.810872,3.522917,0.672283,0.235806,0.566842
7.383333,4.818136,3.522095,0.657299,0.232152,0.553442
7.4,4.817246,3.521351,0.645359,0.2283,0.540908
7.416667,4.81493,3.52017,0.638777,0.231107,0.523763
7.433333,4.813679,3.517207,0.62704,0.254765,0.480584
7.45,4.811573,3.514086,0.611607,0.271907,0.439085
7.466667,4.815991,3.512589,0.594198,0.27271,0.414949
7.483333,4.816721,3.511087,0.582211,0.272427,0.395865
7.5,4.813569,3.509352,0.563899,0.273114,0.374192
7.516667,4.813389,3.507741,0.549004,0.272927,0.351346
7.533333,4.813139,3.505891,0.529997,0.271971,0.327276
7.55,4.815728,3.503939,0.506782,0.272571,0.29701
7.566667,4.817082,3.501843,0.488309,0.273,0.267257
7.583333,4.814995,3.499767,0.468029,0.274096,0.239964
7.6,4.810729,3.498108,0.457257,0.274696,0.218373
7.616667,4.811226,3.498163,0.456035,0.274503,0.22525
7.633333,4.814015,3.499395,0.468291,0.269717,0.233948
7.65,4.816191,3.500259,0.47442,0.272491,0.249806
7.666667,4.816247,3.501129,0.487127,0.271325,0.264096
7.683333,4.81276,3.502174,0.496262,0.269613,0.28215
7.7,4.812202,3.502696,0.502897,0.269744,0.290198
7.716667,4.812254,3.503212,0.505784,0.271342,0.296054
7.733333,4.815093,3.503317,0.507625,0.27376,0.295379
7.75,4.814839,3.503686,0.515696,0.275916,0.301714
7.766667,4.811839,3.504177,0.518527,0.27272,0.311757
7.783333,4.81339,3.504207,0.52084,0.273289,0.309089
7.8,4.813783,3.504049,0.516673,0.273185,0.308609
